RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	-73515	-107762	1.379167	103.9	1:22:45N	103:54:00E	48NUG7762552468	NA48-10	H	STM		SN	00				N			Sungai	SUNGAIPINANG	Sungai Pinang	Sungai Pinang	PINANG SUNGAI	Pinang, Sungai	Pinang, Sungai		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73440	32190	1.424444	103.978611	1:25:28N	103:58:43E	48NUG8637457469	NA48-10	H	CHN		SN	00				N				NENASCHANNEL	Nenas Channel	Nenas Channel	NENASCHANNEL	Nenas Channel	Nenas Channel		1995-04-27	1,2,3,4,5	1			1995-04-25		
5	-73440	-107660	1.424444	103.978611	1:25:28N	103:58:43E	48NUG8637457469	NA48-10	H	CHN		SN	00				V				NANASCHANNEL	Nanas Channel	Nanas Channel	NANASCHANNEL	Nanas Channel	Nanas Channel		1995-04-27	1,2,3,4,5				1995-04-25		
5	-73434	-107653	1.283611	103.715	1:17:01N	103:42:54E	48NUG5703541914	NA48-10	H	CRKT		SN	00				N			Sungai	SUNGAIMUKADUA	Sungai Muka Dua	Sungai Muka Dua	MUKADUA SUNGAI	Muka Dua, Sungai	Muka Dua, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73630	-107912	1.45	103.852778	1:27:00N	103:51:10E	48NUG7237560301	NA48-10	H	CRKT		SN	00				N			Sungai	SUNGAISIMPANG	Sungai Simpang	Sungai Simpang	SIMPANG SUNGAI	Simpang, Sungai	Simpang, Sungai		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	352707	438665	1.45	103.813889	1:27:00N	103:48:50E	48NUG6804860303	NA48-10	H	DCK		SN	00				N				PRESIDENTDOCK	President Dock	President Dock	PRESIDENTDOCK	President Dock	President Dock		1998-01-23	1	1			1998-01-22		
5	30835	37503	1.242778	103.642778	1:14:34N	103:38:34E	48NUG4899637403	NA48-10	H	STRT		SN	00				N				SULTANFAIRWAY	Sultan Fairway	Sultan Fairway	SULTANFAIRWAY	Sultan Fairway	Sultan Fairway		1995-07-26	1,2	1			1993-09-01		
5	39578	49845	1.444444	103.749722	1:26:40N	103:44:59E	48NUG6090859693	NA48-10	H	SHOL		SN	00				N				CAUSEWAYSHOAL	Causeway Shoal	Causeway Shoal	CAUSEWAYSHOAL	Causeway Shoal	Causeway Shoal		1995-04-27	1,2	1			1995-03-09		
5	-73432	-107650	1.436944	103.688056	1:26:13N	103:41:17E	48NUG5404658868	NA48-10	H	CHNM		SN	00				N				MIDDLECHANNEL	Middle Channel	Middle Channel	MIDDLECHANNEL	Middle Channel	Middle Channel		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73426	-107644	1.283333	103.716667	1:17:00N	103:43:00E	48NUG5722141883	NA48-10	H	STM		SN	00				D			Sungai	SUNGAIMERLIMAU	Sungai Merlimau	Sungai Merlimau	MERLIMAU SUNGAI	Merlimau, Sungai	Merlimau, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
