RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	41109	75372	1.304444	103.794722	1:18:16N	103:47:41E	48NUG6590744213	NA48-10	L	INDS		SN	00				V				TANGLINHALT	Tanglin Halt	Tanglin Halt	TANGLINHALT	Tanglin Halt	Tanglin Halt		1995-07-26	1,2,3,4,5				1995-07-26		
5	41110	51966	1.296667	103.869167	1:17:48N	103:52:09E	48NUG7419043349	NA48-10	L	INDS		SN	00				N		Tanjong Rhu		TANJONGRHUINDUSTRIALESTATE	Tanjong Rhu Industrial Estate	Tanjong Rhu Industrial Estate	TANJONGRHUINDUSTRIALESTATE	Tanjong Rhu Industrial Estate	Tanjong Rhu Industrial Estate		1995-07-26	1,2,3,4,5	1			1995-07-26		
5	41110	75374	1.296667	103.869167	1:17:48N	103:52:09E	48NUG7419043349	NA48-10	L	INDS		SN	00				V				TANJONGRHU	Tanjong Rhu	Tanjong Rhu	TANJONGRHU	Tanjong Rhu	Tanjong Rhu		1995-07-26	1,2,3,4,5				1995-07-26		
5	14122	16923	1.281944	103.762778	1:16:55N	103:45:46E	48NUG6235241727	NA48-10	T	ISL		SN	00				N			Pulau	PULAURETANLAUT	Pulau Retan Laut	Pulau Retan Laut	RETANLAUT PULAU	Retan Laut, Pulau	Retan Laut, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	26905	32485	1.393333	103.985833	1:23:36N	103:59:09E	48NUG8717654030	NA48-10	T	PT		SN	00				N				CHANGIPOINT	Changi Point	Changi Point	CHANGIPOINT	Changi Point	Changi Point		1995-04-27	1	1			1995-03-09		
5	30458	36999	1.261389	103.837778	1:15:41N	103:50:16E	48NUG7069639450	NA48-10	H	RF		SN	00				N				REEFBRANI	Reef Brani	Reef Brani	BRANI REEF	Brani, Reef	Brani, Reef		1995-07-26	1	1			1995-07-26		
5	30467	37010	1.272222	103.820833	1:16:20N	103:49:15E	48NUG6881140649	NA48-10	L	PRK		SN	00				N				MOUNTFABERSCENICPARK	Mount Faber Scenic Park	Mount Faber Scenic Park	MOUNTFABERSCENICPARK	Mount Faber Scenic Park	Mount Faber Scenic Park		1995-07-26	1	1			1993-09-01		
5	30469	37012	1.273611	103.817778	1:16:25N	103:49:04E	48NUG6847140803	NA48-10	T	HLL		SN	00				N			Mount	MOUNTFABERCAUeT	Mount Faber Cau 4T	Mount Faber Cau 4T	FABERCAUeT MOUNT	Faber Cau 4T, Mount	Faber Cau 4T, Mount		1997-01-27	1	1			1997-01-24		
5	30469	284861	1.273611	103.817778	1:16:25N	103:49:04E	48NUG6847140803	NA48-10	T	HLL		SN	00				V				MOUNTFABER	Mount Faber	Mount Faber	FABER MOUNT	Faber, Mount	Faber, Mount		1997-01-27	1				1997-01-24		
5	26908	32488	1.390278	103.994444	1:23:25N	103:59:40E	48NUG8813453692	NA48-10	L	PRK		SN	00				N				CHANGIBEACHPARK	Changi Beach Park	Changi Beach Park	CHANGIBEACHPARK	Changi Beach Park	Changi Beach Park		1995-04-27	1	1			1995-03-09		
5	41068	51904	1.294167	103.8025	1:17:39N	103:48:09E	48NUG6677243076	NA48-10	P	PPLX		SN	00				N		Queenstown		QUEENSTOWNESTATE	Queenstown Estate	Queenstown Estate	QUEENSTOWNESTATE	Queenstown Estate	Queenstown Estate		1996-11-29	1,2,3,4,5,6	1			1995-07-26		
5	41068	51905	1.294167	103.8025	1:17:39N	103:48:09E	48NUG6677243076	NA48-10	P	PPLX		SN	00				V				QUEENSTOWNNEWTOWN	Queenstown New Town	Queenstown New Town	QUEENSTOWNNEWTOWN	Queenstown New Town	Queenstown New Town		1996-11-29	1,2,3,4,5,6				1995-07-26		
5	41068	75314	1.294167	103.8025	1:17:39N	103:48:09E	48NUG6677243076	NA48-10	P	PPLX		SN	00				V				QUEENSTOWN	Queenstown	Queenstown	QUEENSTOWN	Queenstown	Queenstown		1996-11-29	1,2,3,4,5,6				1995-07-26		
5	23520	28350	1.186667	103.7175	1:11:12N	103:43:03E	48NUG5730831196	NA48-10	T	CAPE		SN	00				N			Tanjong	TANJONGGENTING	Tanjong Genting	Tanjong Genting	GENTING TANJONG	Genting, Tanjong	Genting, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	23532	28370	1.356667	103.8375	1:21:24N	103:50:15E	48NUG7067049984	NA48-10	L	LCTY		SN	00				N				THOMSON	Thomson	Thomson	THOMSON	Thomson	Thomson		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	23537	28375	1.281389	103.832778	1:16:53N	103:49:58E	48NUG7014141662	NA48-10	L	LCTY		SN	00				N				TIONGBAHRU	Tiong Bahru	Tiong Bahru	TIONGBAHRU	Tiong Bahru	Tiong Bahru		1995-04-26	1,2,3,4,5	1			1995-04-26		
5	23544	28382	1.329444	103.801389	1:19:46N	103:48:05E	48NUG6665046976	NA48-10	L	LCTY		SN	00				N				ULUPANDAN	Ulu Pandan	Ulu Pandan	ULUPANDAN	Ulu Pandan	Ulu Pandan		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	14001	16790	1.280556	103.704722	1:16:50N	103:42:17E	48NUG5589141577	NA48-10	H	CHN		SN	00				D			Selat	SELATAYERCHAWAN	Selat Ayer Chawan	Selat Ayer Chawan	AYERCHAWAN SELAT	Ayer Chawan, Selat	Ayer Chawan, Selat		1995-04-26	1	1			1995-04-26		
5	14003	16792	1.2725	103.719444	1:16:21N	103:43:10E	48NUG5752940685	NA48-10	H	CHN		SN	00				N			Selat	SELATAYERMERBAU	Selat Ayer Merbau	Selat Ayer Merbau	AYERMERBAU SELAT	Ayer Merbau, Selat	Ayer Merbau, Selat		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	22288	26975	1.283333	103.606389	1:17:00N	103:36:23E	48NUG4494941889	NA48-10	H	RF		SN	00				N				ALERTSHOAL	Alert Shoal	Alert Shoal	ALERTSHOAL	Alert Shoal	Alert Shoal		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	22313	27001	1.346389	103.853056	1:20:47N	103:51:11E	48NUG7240048847	NA48-10	P	PPLX		SN	00				N				BISHANNEWTOWN	Bishan New Town	Bishan New Town	BISHANNEWTOWN	Bishan New Town	Bishan New Town		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	22317	261484	1.351667	103.762778	1:21:06N	103:45:46E	48NUG6235549435	NA48-10	P	PPLX		SN	00				V				BUKITBATOK	Bukit Batok	Bukit Batok	BUKITBATOK	Bukit Batok	Bukit Batok		1996-11-29	1,2,3,4,5,6				1993-09-01		
5	22317	27005	1.351667	103.762778	1:21:06N	103:45:46E	48NUG6235549435	NA48-10	P	PPLX		SN	00				N				BUKITBATOKNEWTOWN	Bukit Batok New Town	Bukit Batok New Town	BUKITBATOKNEWTOWN	Bukit Batok New Town	Bukit Batok New Town		1996-11-29	1,2,3,4,5,6	1			1993-09-01		
5	23458	75370	1.349167	103.949722	1:20:57N	103:56:59E	48NUG8315649149	NA48-10	P	PPLX		SN	00				V				TAMPINES	Tampines	Tampines	TAMPINES	Tampines	Tampines		1995-07-26	1,2,3,4,5				1995-07-26		
5	23458	28272	1.349167	103.949722	1:20:57N	103:56:59E	48NUG8315649149	NA48-10	P	PPLX		SN	00				N				TAMPINESNEWTOWN	Tampines New Town	Tampines New Town	TAMPINESNEWTOWN	Tampines New Town	Tampines New Town		1995-07-26	1,2,3,4,5	1			1995-07-26		
5	23464	28278	1.329444	103.828333	1:19:46N	103:49:42E	48NUG6964946975	NA48-10	L	LCTY		SN	00				N				TANGLIN	Tanglin	Tanglin	TANGLIN	Tanglin	Tanglin		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	23466	28280	1.301389	103.7975	1:18:05N	103:47:51E	48NUG6621643875	NA48-10	P	PPL		SN	00				N				TANGLINHALT	Tanglin Halt	Tanglin Halt	TANGLINHALT	Tanglin Halt	Tanglin Halt		1994-07-21	1,2,3,4	1			1994-07-21		
5	23474	28289	1.297778	103.785556	1:17:52N	103:47:08E	48NUG6488743476	NA48-10	L	INDS		SN	00				N				TELOKBLANGAHINDUSTRIALESTATE	Telok Blangah Industrial Estate	Telok Blangah Industrial Estate	TELOKBLANGAHINDUSTRIALESTATE	Telok Blangah Industrial Estate	Telok Blangah Industrial Estate		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	40095	50698	1.348889	103.765278	1:20:56N	103:45:55E	48NUG6263349128	NA48-10	L	RESN		SN	00				N				BUKITBATOKNATUREPARK	Bukit Batok Nature Park	Bukit Batok Nature Park	BUKITBATOKNATUREPARK	Bukit Batok Nature Park	Bukit Batok Nature Park		1995-04-26	1,2	1			1995-04-26		
5	40096	50699	1.355556	103.763611	1:21:20N	103:45:49E	48NUG6244849865	NA48-10	L	PRK		SN	00				N				BUKITBATOKTOWNPARK	Bukit Batok Town Park	Bukit Batok Town Park	BUKITBATOKTOWNPARK	Bukit Batok Town Park	Bukit Batok Town Park		1995-04-26	1,2	1			1995-04-26		
5	25981	48920	1.395556	103.691389	1:23:44N	103:41:29E	48NUG5441554292	NA48-10	S	TRIG		SN	00				V				LIMCHUKANGII	Lim Chu Kang II	Lim Chu Kang II	LIMCHUKANGII	Lim Chu Kang II	Lim Chu Kang II		1995-04-27	1,2				1995-04-25		
5	25981	31278	1.395556	103.691389	1:23:44N	103:41:29E	48NUG5441554292	NA48-10	S	TRIG		SN	00				N				LIMCHUKANG	Lim Chu Kang	Lim Chu Kang	LIMCHUKANG	Lim Chu Kang	Lim Chu Kang		1995-04-27	1,2	1			1995-04-25		
5	25990	48910	1.439722	103.737778	1:26:23N	103:44:16E	48NUG5957959172	NA48-10	L	PRK		SN	00				N				KRANJIRESERVOIRPARK	Kranji Reservoir Park	Kranji Reservoir Park	KRANJIRESERVOIRPARK	Kranji Reservoir Park	Kranji Reservoir Park		1995-04-27	1,2	1			1995-03-09		
5	25990	31290	1.439722	103.737778	1:26:23N	103:44:16E	48NUG5957959172	NA48-10	L	PRK		SN	00				V				KRANJIPARK	Kranji Park	Kranji Park	KRANJIPARK	Kranji Park	Kranji Park		1995-04-27	1,2				1995-03-09		
5	39638	49930	1.423889	103.848333	1:25:26N	103:50:54E	48NUG7187957415	NA48-10	T	MT		SN	00				N				MAYANG	Mayang	Mayang	MAYANG	Mayang	Mayang		1995-04-27	1,2	1			1995-03-09		
5	23129	27894	1.401667	103.89	1:24:06N	103:53:24E	48NUG7651454956	NA48-10	L	LCTY		SN	00				N				JALANKAYU	Jalan Kayu	Jalan Kayu	JALANKAYU	Jalan Kayu	Jalan Kayu		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	23131	27896	1.320278	103.693611	1:19:13N	103:41:37E	48NUG5465745969	NA48-10	L	LCTY		SN	00				N				JURONG	Jurong	Jurong	JURONG	Jurong	Jurong		1995-04-26	1,2,3,4,5	1			1995-04-26		
5	53448	67659	1.3075	103.820556	1:18:27N	103:49:14E	48NUG6878244549	NA48-10	S	HSP		SN	00				N				GLENEAGLESHOSPITAL	Gleneagles Hospital	Gleneagles Hospital	GLENEAGLESHOSPITAL	Gleneagles Hospital	Gleneagles Hospital		1995-04-26	1,2,3	1			1995-04-26		
5	40258	50902	1.276667	103.758056	1:16:36N	103:45:29E	48NUG6182641144	NA48-10	H	ANCH		SN	00				N				DANGEROUSGOODSANCHORAGE	Dangerous Goods Anchorage	Dangerous Goods Anchorage	DANGEROUSGOODSANCHORAGE	Dangerous Goods Anchorage	Dangerous Goods Anchorage		1997-01-27	1	1			1997-01-24		
5	40258	318703	1.276667	103.758056	1:16:36N	103:45:29E	48NUG6182641144	NA48-10	H	ANCH		SN	00				V				WESTERNDANGEROUSGOODS	Western Dangerous Goods	Western Dangerous Goods	WESTERNDANGEROUSGOODS	Western Dangerous Goods	Western Dangerous Goods		1997-01-27	1				1997-01-24		
5	40268	50915	1.293889	103.799167	1:17:38N	103:47:57E	48NUG6640143045	NA48-10	S	TRIG		SN	00				N				QUEENWAY	Queenway	Queenway	QUEENWAY	Queenway	Queenway		1995-04-26	1	1			1995-04-26		
